הרכב מדד -  משקל ני''ע ת"א-125,,,,,,,,,,,,,,,,,,
נכון ל- 20/12/2018
שם,סימול ,מס' ני''ע,ISIN,משקל (%),שווי שוק (במיליוני ש''ח),שער בסיס (באגורות),שער נעילה (באגורות),יום אקס,מחזור יומי ממוצע בחצי שנה אחרונה (ש''ח),חציון מחזור יומי בחצי שנה אחרונה (ש''ח),הון רשום למסחר,אחוז החזקות ציבור,אחוז החזקות הציבור למדד,ממ''מ,כמות מניות צפה למדד,פקטור משקל,שווי החזקות הציבור במיליוני ש''ח,מועד עדכון ממ''מ אחרון
קמהדע,קמדע,1094119,IL0010941198,0.18332,751,1866.00,1849.0000,לא,1121149,980566,40267527,71.46,80.00,40267527.00,32214021.60,1,532,09/12/2018
דקסיה ישראל,דקסאל,711010,IL0007110104,0.18320,601,68040.00,67020.0000,לא,952157,572056,882900,93.50,100.00,882900.00,882900.00,1,553,09/12/2018
רבוע נדלן,רבנד,1098565,IL0010985658,0.18251,1330,11480.00,11220.0000,לא,844147,502593,11584970,42.33,45.00,11584970.00,5213236.50,1,550,09/12/2018
מגדלי תיכון,מגתכ,1131523,IL0011315236,0.17064,933,651.90,640.0000,לא,551264,316166,143051123,50.90,60.00,143051123.00,85830673.80,1,466,09/12/2018
פלסאון תעשיות,פלסון,1081603,IL0010816036,0.16948,1588,16630.00,16570.0000,לא,760628,424039,9547955,30.85,35.00,9547955.00,3341784.25,1,488,09/12/2018
ארקו החזקות,ארקו,310011,IL0003100117,0.16850,1228,161.70,159.1000,לא,987699,558719,759313177,35.84,45.00,759313177.00,341690929.65,1,433,09/12/2018
נורסטאר,נסטר,723007,PAL0605071A3,0.16457,1198,4610.00,4400.0000,לא,1265187,591033,25959804,36.43,45.00,26012433.00,11705594.85,1,416,09/12/2018
נטו אחזקות,נטו,168013,IL0001680136,0.16240,1183,31990.00,31010.0000,לא,570500,373353,3699256,38.92,45.00,3699256.00,1664665.20,1,446,09/12/2018
נאוי,נאוי,208017,IL0002080179,0.15891,651,1990.00,2000.0000,לא,1102549,571546,32730484,65.36,80.00,32730484.00,26184387.20,1,428,09/12/2018
או פי סי אנרגיה,אפסא,1141571,IL0011415713,0.15766,2585,1960.00,1942.0000,לא,367553,260706,131886721,24.18,20.00,131886721.00,26377344.20,1,619,09/12/2018
קרור,קרור,621011,IL0006210111,0.15621,1138,9050.00,9007.0000,לא,530775,384607,12577534,37.51,45.00,12577534.00,5659890.30,1,425,09/12/2018
קרסו,קרסו,1123850,IL0011238503,0.12928,1211,1515.00,1523.0000,לא,613607,387819,79947513,30.05,35.00,79947513.00,27981629.55,1,366,09/12/2018
אלקטרה צריכה,אמצ,5010129,IL0050101299,0.12888,939,4182.00,4180.0000,לא,2105046,652685,22456110,35.03,45.00,22456110.00,10105249.50,1,329,09/12/2018
המלט,המלט,1080324,IL0010803240,0.12875,940,6699.00,6708.0000,לא,1493191,1034161,14030444,39.84,45.00,14004455.00,6302004.75,1,375,09/12/2018
וואן טכנולוגיות,וואן,161018,IL0001610182,0.12351,900,13250.00,13000.0000,לא,346472,205952,6792316,40.91,45.00,6792316.00,3056542.20,1,361,09/12/2018
אבגול,אבגל,1100957,IL0011009573,0.12021,1127,380.00,373.0000,לא,431350,221275,296663460,34.05,35.00,296376698.00,103731844.30,1,377,09/12/2018
אייאיאס,איאס,431015,IL0004310152,0.11764,857,16600.00,15960.0000,לא,210981,138163,5164168,37.82,45.00,5164168.00,2323875.60,1,312,09/12/2018
ביוטיים,ביטמ,1136365,US09066L1052,0.11649,477,391.70,360.6000,לא,414726,311542,121903633,68.73,80.00,121903633.00,97522906.40,1,302,09/12/2018
