Date,Open,High,Low,Close,Adj Close,Volume
2010-08-31,1053.869995,1138.469971,1050.079956,1128.869995,1128.869995,0
2010-09-30,1128.869995,1177.670044,1118.22998,1171.160034,1171.160034,0
2010-10-31,1182.410034,1182.76001,1130.560059,1149.670044,1149.670044,0
2010-11-30,1155.530029,1229.939941,1152.810059,1224,1224,0
2010-12-31,1231.02002,1254.400024,1190.02002,1203.75,1203.75,0
2011-01-31,1204.76001,1241.969971,1171.630005,1189.959961,1189.959961,0
2011-02-28,1192.160034,1212.130005,1118.180054,1207.609985,1207.609985,0
2011-03-31,1207.609985,1223.630005,1195.329956,1195.329956,1195.329956,0
2011-04-30,1185.75,1187.150024,1110.869995,1152.219971,1152.219971,0
2011-05-31,1149.939941,1149.939941,1077.949951,1113.380005,1113.380005,1795289000
2011-06-30,1113.380005,1148.660034,1113.380005,1117.650024,1117.650024,3548975600
2011-07-31,1118.550049,1121.459961,940.77002,1013.469971,1013.469971,3372497300
2011-08-31,1014.909973,1017.51001,886.549988,969.77002,969.77002,4398086600
2011-09-30,944.369995,1063.569946,920.320007,1021.469971,1021.469971,3158502800
2011-10-31,1004.369995,1026.920044,925.72998,984.320007,984.320007,3955770200
2011-11-30,987.349976,1008.820007,963.929993,978.48999,978.48999,3396036400
2011-12-31,990.869995,1037.189941,989.630005,1013.700012,1013.700012,5250028000
2012-01-31,1011.97998,1025.73999,975.619995,990.059998,990.059998,2912905800
2012-02-29,989.690002,1060.22998,982.450012,1032.47998,1032.47998,4106770000
2012-03-31,1043.01001,1070.069946,1025.900024,1066.48999,1066.48999,2477765400
2012-04-30,1065.619995,1074.150024,959.960022,981.280029,981.280029,4248230200
2012-05-31,981.280029,1014.01001,955.559998,969.859985,969.859985,2874854800
2012-06-30,986.669983,1007.179993,957.47998,996.719971,996.719971,3023879000
2012-07-31,995.929993,1002.950012,970.909973,999.590027,999.590027,3531492200
2012-08-31,993.799988,1057.030029,985.880005,1054.579956,1054.579956,2431597400
2012-09-30,1054.579956,1097.189941,1053.660034,1076.410034,1076.410034,2416048500
2012-10-31,1078.939941,1094.400024,1035.089966,1089.609985,1089.609985,3421312200
2012-11-30,1093.069946,1100.780029,1034.630005,1049.060059,1049.060059,3514081200
2012-12-31,1067.550049,1086.410034,1043.859985,1046.719971,1046.719971,2334524700
2013-01-31,1046.719971,1104.530029,1046.719971,1090.670044,1090.670044,2157918100
2013-02-28,1090.670044,1115.98999,1080.48999,1100.040039,1100.040039,1765887100
2013-03-31,1100.040039,1105.439941,1066.719971,1082.949951,1082.949951,1594526700
2013-04-30,1082.780029,1118.599976,1068.800049,1107.900024,1107.900024,2472968000
2013-05-31,1103.079956,1111.890015,1067.77002,1069.560059,1069.560059,2230618300
2013-06-30,1074.890015,1119.22998,1068.130005,1094.060059,1094.060059,2198882200
2013-07-31,1095.310059,1108.030029,1052.900024,1081.680054,1081.680054,2105323000
2013-08-31,1088.699951,1148.660034,1070.709961,1142.51001,1142.51001,1723122900
2013-09-30,1147.170044,1182.459961,1136.910034,1160.439941,1160.439941,3554054200
2013-10-31,1169.959961,1223.959961,1168.910034,1218.430054,1218.430054,2784031000
2013-11-30,1236.680054,1238.689941,1178.589966,1206.800049,1206.800049,3406136000
2013-12-31,1214.329956,1245.25,1189.48999,1200.630005,1200.630005,1798173700
2014-01-31,1202.359985,1259.25,1179.959961,1253.560059,1253.560059,1539673400
2014-02-28,1254.359985,1292.569946,1246.459961,1282.219971,1282.219971,1652610200
2014-03-31,1286.72998,1302.199951,1248.589966,1250.02002,1250.02002,1281517800
2014-04-30,1247.550049,1271.030029,1234.359985,1256.73999,1256.73999,1396037000
2014-05-31,1262.819946,1272.73999,1247.300049,1252.390015,1252.390015,1009507100
2014-06-30,1253.709961,1265.630005,1224.560059,1246.199951,1246.199951,1166140400
2014-07-31,1246.099976,1271.52002,1232.089966,1263.969971,1263.969971,911045700
2014-08-31,1267.400024,1312.439941,1267.150024,1305.439941,1305.439941,1176166400
2014-09-30,1306.670044,1319.290039,1265.300049,1276.800049,1276.800049,939249500
2014-10-31,1291.869995,1311.459961,1280.76001,1310.199951,1310.199951,1103144400
2014-11-30,1304.280029,1329.310059,1274.540039,1288.930054,1288.930054,1702529800
2014-12-31,1284.52002,1297.040039,1269.180054,1269.709961,1269.709961,0
2015-01-31,1271.829956,1346.01001,1269.300049,1341.780029,1341.780029,1551328900
2015-02-28,1362.689941,1425.949951,1353.26001,1416.160034,1416.160034,3078263600
2015-03-31,1415.140015,1486.430054,1413.97998,1430.609985,1430.609985,1319434100
2015-04-30,1427.650024,1487.469971,1406.52002,1454.51001,1454.51001,1349223500
2015-05-31,1464.589966,1480.439941,1406.109985,1420.26001,1420.26001,1430214100
2015-06-30,1422.540039,1491.540039,1412.02002,1476.849976,1476.849976,1476124000
2015-07-31,1480.329956,1503.790039,1343.920044,1382.48999,1382.48999,2015245200
2015-08-31,1373.27002,1419.349976,1286.310059,1294.449951,1294.449951,1859816700
2015-09-30,1301.959961,1369.849976,1299.26001,1366.619995,1366.619995,1585082700
2015-10-31,1360.959961,1376.189941,1324.5,1345.369995,1345.369995,1564492200
2015-11-30,1354.790039,1362.390015,1281.869995,1315.219971,1315.219971,2116237800
2015-12-31,1311.76001,1324.949951,1226.189941,1246.209961,1246.209961,1427271800
2016-01-31,1266.47998,1268.780029,1180.609985,1239.25,1239.25,1114352600
2016-02-29,1240.650024,1285.939941,1239.800049,1251.02002,1251.02002,1883210100
2016-03-31,1250.680054,1297.52002,1240.180054,1245.119995,1245.119995,972348800
2016-04-30,1227.52002,1259.339966,1206.51001,1253.689941,1253.689941,1413545700
2016-05-31,1254.280029,1263.579956,1195.030029,1210.949951,1210.949951,2016608800
2016-06-30,1226.369995,1283.25,1212.079956,1267.26001,1267.26001,899263700
2016-07-31,1277.209961,1300.530029,1261.079956,1271.290039,1271.290039,1354693400
2016-08-31,1273.75,1285.23999,1247.959961,1260.77002,1260.77002,1407170800
2016-09-30,1252.430054,1267.540039,1228.839966,1229.77002,1229.77002,736904100
2016-10-31,1233.150024,1273.329956,1198.319946,1265.310059,1265.310059,1459329700
2016-11-30,1261.47998,1297.180054,1254.910034,1282.410034,1282.410034,2074694000
2016-12-31,1279.140015,1293.02002,1230.51001,1242.959961,1242.959961,1291821200
2017-01-31,1250.5,1297.410034,1243.25,1265.609985,1265.609985,793598500
2017-02-28,1268.51001,1288.660034,1243.359985,1251.280029,1251.280029,801331000
2017-03-31,1254.97998,1274.810059,1240.51001,1271.98999,1271.98999,1129709200
2017-04-30,1267.349976,1308.300049,1266.719971,1297.439941,1297.439941,1100670900
2017-05-31,1296.130005,1301.839966,1279.180054,1292.410034,1292.410034,1383200300
